Name,Team,Opponent,Position,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Emeka Egbuka (TB),TB,PHI,WR,16.7,2.5,23.8,3.5,6800
Bucky Irving (TB),TB,PHI,RB,16.7,2.4,23.8,3.4,6900
Davante Adams (LAR),LAR,IND,WR,16.5,2.7,21,3.4,6200
Malik Nabers (NYG),NYG,LAC,WR,16.3,2.3,25.8,3.7,7000
C.J. Stroud (HOU),HOU,TEN,QB,16.3,3.1,21.7,4.1,5300
Travis Etienne Jr. (JAX),JAX,SF,RB,16.3,2.8,20.8,3.6,5800
Deebo Samuel Sr. (WAS),WAS,ATL,WR,15.9,2.7,21.5,3.6,6000
Daniel Jones (IND),IND,LAR,QB,15.9,2.8,21.2,3.8,5600
Rome Odunze (CHI),CHI,LV,WR,15.8,2.5,22.7,3.6,6300
Chuba Hubbard (CAR),CAR,NE,RB,15.7,2.6,20,3.3,6000
A.J. Brown (PHI),PHI,TB,WR,15.6,2.4,24.9,3.9,6400
Drake Maye (NE),NE,CAR,QB,15.6,2.8,20.8,3.8,5500
Brian Thomas Jr. (JAX),JAX,SF,WR,15.3,2.5,22,3.6,6100
Tetairoa McMillan (CAR),CAR,NE,WR,15.3,2.6,19.5,3.3,5900
Ladd McConkey (LAC),LAC,NYG,WR,15.2,2.3,23.2,3.6,6500
Trevor Lawrence (JAX),JAX,SF,QB,15.2,2.9,20.2,3.9,5200
David Montgomery (DET),DET,CLE,RB,15.2,2.7,19.4,3.4,5700
Drake London (ATL),ATL,WAS,WR,14.9,2.6,19,3.3,5700
Geno Smith (LV),LV,CHI,QB,14.8,2.7,19.7,3.6,5400
Brock Bowers (LV),LV,CHI,TE,14.8,2.6,19.2,3.3,5800
D'Andre Swift (CHI),CHI,LV,RB,14.6,2.7,18.6,3.4,5400
Jakobi Meyers (LV),LV,CHI,WR,14.4,2.7,15.8,2.9,5400
Michael Penix Jr. (ATL),ATL,WAS,QB,14.3,2.8,19,3.7,5100
Chris Godwin (TB),TB,PHI,WR,14.1,2.4,20.5,3.4,6000
Tony Pollard (TEN),TEN,HOU,RB,14.1,2.5,18,3.2,5600
Omarion Hampton (LAC),LAC,NYG,RB,13.7,2.3,17.5,3.0,5900
Bryce Young (CAR),CAR,NE,QB,13.7,2.8,18.2,3.7,4900
Ricky Pearsall (SF),SF,JAX,WR,13.4,2.4,17.1,3.0,5700
Jauan Jennings (SF),SF,JAX,WR,13.3,2.7,13.1,2.6,5000
Joe Flacco (CLE),CLE,DET,QB,13.2,2.8,17.6,3.7,4700
Keenan Allen (LAC),LAC,NYG,WR,13.1,2.5,16.7,3.2,5300
Spencer Rattler (NO),NO,BUF,QB,12.8,2.7,17,3.6,4700
DJ Moore (CHI),CHI,LV,WR,12.7,2.3,20,3.6,5600
